Category,Dutch,English
Industry & Sectors,% A Landbouw, bosbouw en visserij,"% A Agriculture, forestry, and fishing"
Industry & Sectors,% B-F Nijverheid en energie,% B-F Industry and energy
Industry & Sectors,% G+I Handel en horeca,% G+I Trade and hospitality
Industry & Sectors,"% H+J Vervoer, informatie en communicatie","% H+J Transport, information, and communication"
Industry & Sectors,"% K-L Financiële diensten, onroerend goed","% K-L Financial services, real estate"
Industry & Sectors,% M-N Zakelijke dienstverlening,% M-N Business services
Industry & Sectors,"% O-Q Overheid, onderwijs en zorg","% O-Q Government, education, and healthcare"
Industry & Sectors,"% R-U Cultuur, recreatie, overige diensten","% R-U Culture, recreation, and other services"
Demographics & Education,% Mannen,% Men
Demographics & Education,% Vrouwen,% Women
Demographics & Education,% 0 tot 15 jaar,% 0 to 15 years
Demographics & Education,% 15 tot 25 jaar,% 15 to 25 years
Demographics & Education,% 25 tot 45 jaar,% 25 to 45 years
Demographics & Education,% 45 tot 65 jaar,% 45 to 65 years
Demographics & Education,% 65 jaar of ouder,% 65 years or older
Demographics & Education,% Ongehuwd,% Unmarried
Demographics & Education,% Gehuwd,% Married
Demographics & Education,% Gescheiden,% Divorced
Demographics & Education,% Verweduwd,% Widowed
Demographics & Education,% Praktisch opleidingsniveau,% Practical education level
Demographics & Education,% Middelbaar opleidingsniveau,% Secondary education level
Demographics & Education,% Hoger opleidingsniveau,% Higher education level
Demographics & Education,% Jongeren met jeugdzorg,% Youth receiving youth care
Households & Labor,% Eenpersoonshuishoudens,% Single-person households
Households & Labor,% Meerpersoonshuishoudens,% Multi-person households
Households & Labor,% Meerpersoonshuishoudens zonder kinderen,% Multi-person households without children
Households & Labor,% Meerpersoonshuishoudens met kinderen,% Multi-person households with children
Households & Labor,Netto arbeidsparticipatie,Net labor participation rate
Households & Labor,% Werknemers,% Employees
Households & Labor,% Werknemers met vaste arbeidsrelatie,% Employees with a permanent employment contract
Households & Labor,% Werknemers met flexibele arbeidsrelatie,% Employees with a flexible employment contract
Households & Labor,% Zelfstandigen,% Self-employed
Income, Poverty & Benefits,40% personen met laagste inkomen,40% of persons with the lowest income
Income, Poverty & Benefits,20% personen met hoogste inkomen,20% of persons with the highest income
